state,polling_data,user_prediction,winner
Alabama,-3.176842401853258,-2.819285224191946,Joe Biden
Alaska,1.802515291518134,4.879614235715098,Trump
Arizona,-4.633175343019172,-0.2621052343623255,Joe Biden
Arkansas,2.9714301416657276,4.534942069755303,Trump
California,-2.9745186264777225,4.651719282751213,Trump
Colorado,-2.674522049594751,-3.062187519824853,Trump
Connecticut,-1.585387232212325,-0.8887457422461436,Trump
Delaware,3.146794235357485,4.079009030045204,Trump
Florida,3.2295471613080746,1.5409184378561657,Trump
Georgia,4.044313514529398,2.680388855499155,Trump
Hawaii,-3.5281894529351776,-2.493946744520637,Joe Biden
Idaho,-1.0844946747026874,3.974941135095789,Trump
Illinois,0.35929003300572354,1.1782714725729927,Trump
Indiana,3.860252723445288,0.6239924692301424,Trump
Iowa,2.1971489817972315,-0.13568249404803486,Trump
Kansas,-2.252267179659553,-2.413774730120502,Trump
Kentucky,3.399038726150328,1.001985634322583,Trump
Louisiana,4.712988964154892,1.2373182418998536,Trump
Maine,-1.2075033226074753,3.473654340252859,Trump
Maryland,-3.434085837890339,-4.409789752455761,Trump
Massachusetts,3.2559634518227994,-0.5801883622020575,Trump
Michigan,-4.741551108391176,-3.448671418071517,Joe Biden
Minnesota,2.399930903651332,4.261185167828301,Trump
Mississippi,-2.3278858156335866,4.018356284842048,Trump
Missouri,-4.447733328907836,-0.24248065770123117,Joe Biden
Montana,4.571320382941354,-4.744105648825759,Joe Biden
Nebraska,-3.892065345994171,-2.665438682198431,Joe Biden
Nevada,-3.223556107624721,-3.496441681391575,Trump
New Hampshire,3.2656014204569383,4.979503502191147,Trump
New Jersey,2.529184297496296,-1.766408059225348,Trump
New Mexico,2.1255182459636433,1.7006662791092046,Trump
New York,2.1347460680097145,4.711747381712991,Trump
North Carolina,2.1207935884766524,3.801302248700574,Trump
North Dakota,-2.607179230609282,0.8673245698666261,Trump
Ohio,-3.747026104442541,-0.9089073478661586,Joe Biden
Oklahoma,4.796034982229756,-3.132034012463461,Joe Biden
Oregon,-2.2492946230500575,0.2733059335026148,Trump
Pennsylvania,-2.660679450745683,-0.6988845974400855,Joe Biden
Rhode Island,-4.74251561431814,-4.944739629477661,Trump
South Carolina,-4.054330255161196,-0.5026682028261501,Joe Biden
South Dakota,4.127240541932915,3.032324332004084,Trump
Tennessee,1.446102045840185,0.3890866645804558,Trump
Texas,0.1918155302878498,0.6817003489269823,Trump
Utah,-3.6490870222381065,0.1062560751070925,Joe Biden
Vermont,1.5074225285102948,0.2722832830714144,Trump
Virginia,3.6314388882866577,-1.943264841222872,Trump
Washington,2.2759936156740533,-4.781442188285067,Trump
West Virginia,-2.757959162681772,-3.129214756502473,Trump
Wisconsin,-3.1325275354636833,2.306743483173728,Joe Biden
Wyoming,-4.384525302230141,-2.446104283138581,Joe Biden
